IPV4央视,#genre#
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8
CCTV1,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000001000018602/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000001000018602
CCTV1,http://223.75.148.190:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://112.6.165.112:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,https://stream1.freetv.fun/ed56f455ae3fdab6f18723bceb3da6c3ee2e7ad0914baa05f5a533c02f6f303d.m3u8
CCTV1,http://59.173.183.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://61.190.129.195:8686/rtp/238.1.78.166:7200
CCTV1,http://39.134.62.47:6610/000000001000/1000000005000264929/index.m3u8?Contentid=1000000005000265001&channel-id=ystenlive&livemode=1&stbId=4

CCTV2,http://59.173.183.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://112.123.206.32:808/hls/2/index.m3u8
CCTV2,http://112.6.165.112:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://113.25.208.15:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://223.75.148.190:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://ycsj.aguihome.com:4022/rtp/233.50.201.119:5140

CCTV3,http://112.123.206.32:808/hls/3/index.m3u8
CCTV3,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000001000013682/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000001000013682
CCTV3,https://stream1.freetv.fun/33711cece64c9077907fa3caea452361f539772402550ca53ae2c9b00a3211b3.m3u8
CCTV3,http://223.75.148.190:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://113.25.208.15:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://ycsj.aguihome.com:4022/rtp/233.50.201.196:5140
CCTV3,http://222.134.245.16:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://58.48.37.158:1111/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV4,http://59.173.183.242:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://119.163.199.98:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/5000000011000031102/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031102
CCTV4,https://stream1.freetv.fun/a722b1d2e56f302d937c1860fb90c5fa0f5cdc3154486dea6a906089073fc71a.m3u8
CCTV4,http://113.25.208.15:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://112.6.165.112:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://223.75.148.190:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,https://livednow.com/migu/631780421?sign=gAAAAABmxHgUJhwutOsF7j5VBkIdvT4QzvehgL55mCVslYkMUweUmCHV-ZpEdakhqpxQyUgyfSQYVrXa2yPRc0rwxxM6D-XpPLjuVJc1sN5HZC8raqUGxCtxxbO13YXPmI6M16pkGjPcvmLKi164Jn_3MxChNchiHCRGUxkPj2xlASFxEbsw0v27vqMvXGDTUzjv8L4ARiG96hD77LtKKZKKq6xgOXIDaw%3D%3D
CCTV4,http://enlen.vip:4022/rtp/239.200.200.128:8652

CCTV5,http://113.25.208.15:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://59.173.183.242:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://113.195.4.227:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://119.163.199.98:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://123.113.236.69:8012/rtp/239.3.1.108:8001
CCTV5,http://223.75.148.190:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://58.48.37.158:1111/tsfile/live/0005_1.m3u8

CCTV5+,http://zy.otioi.cn/live/migu.php?token=4zfvOqMj&id=cctv5p
CCTV5+,http://59.173.183.242:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,https://livednow.com/migu/641886773?sign=gAAAAABmwyZN9vRTwJypEYIii1HU9X9g8nzZg0PftfIp1PnoMqsjaBqJatBDKbrKNY7qDVobLQnYFsSWIUznJoXdA3mMBLtEPV9X_rxTIvPZzkB4C8UXnp_9MQd2pYR1FrT-osgxpgV8hxqnrfluji5KJg3cyv7WECNtvwmJg1xj4O-caWSnUg9-rOrCTJrVVGDWW4cJ5jByTXQfuLhTmNvFjUFNP1QQvQ%3D%3D
CCTV5+,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/5000000011000031127/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031127
CCTV5+,http://1.30.178.49:9901/tsfile/live/0016_1.m3u8?key=txiptv
CCTV5+,http://220.170.242.246:9901/tsfile/live/0016_1.m3u8?key=txiptv
CCTV5+,http://112.6.165.112:9901/tsfile/live/0016_1.m3u8?key=txiptv
CCTV5+,http://119.163.199.98:9901/tsfile/live/0016_2.m3u8

CCTV6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0
CCTV6,https://epg.pw/stream/c2a78d34141bd7ad12b19b2ab7f3f60f2b8a4c3bdd5c573889aad5bc3b331fe1.m3u8
CCTV6,http://cdn.jdshipin.com:8880/ysp.php?id=cctv6
CCTV6,http://gslbservzqhsw.itv.cmvideo.cn/1000000001000001737/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001737&livemode=1&stbId=3
CCTV6,http://112.123.206.32:808/hls/7/index.m3u8
CCTV6,http://223.75.148.190:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://113.195.4.227:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://36.135.52.57:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://113.25.208.15:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://59.173.183.242:9901/tsfile/live/0006_1.m3u8?key=txiptv

CCTV7,http://ycsj.aguihome.com:4022/rtp/233.50.201.120:5140
CCTV7,http://123.166.61.70:8003/hls/42/index.m3u8
CCTV7,http://124.116.183.146:9901/tsfile/live/0007_1.m3u8
CCTV7,http://36.135.52.57:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV7,http://113.25.208.15:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV7,http://223.75.148.190:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV7,https://stream1.freetv.fun/6d894cacae2ad9adfdb6b37e0ae3ecaf3d277e4b5db998990d75ab67b1875196.m3u8

CCTV8,http://61.163.181.78:9901/tsfile/live/0008_1.m3u8
CCTV8,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000001000003736/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000001000003736
CCTV8,http://61.157.139.15:9901/tsfile/live/2378_1.m3u8?key=txiptv&playlive=1&authid=0
